"Access/Setting/Overall_Experience:_Overall_educational_experience","Access/Setting/Overall_Experience:__Accessibility_of_platforms/materials","Access/Setting/Overall_Experience:_Technical_quality_(e.g.,_audio/visual_experience)","Access/Setting/Overall_Experience:_Accessing_the_webinar_(e.g.,_purchasing/registering,_logging_in)","Access/Setting/Overall_Experience:_Clarity_and_timeliness_of_information/materials_received_(e.g.,_emails_from_WPS,_course_materials)","Quality_of_Instruction_–_Instructor_Ratings_–_Somer_Bishop,_PhD:_Provided_useful_historical_and_current_information_about_autism_spectrum_disorder","Quality_of_Instruction_–_Instructor_Ratings_–_Somer_Bishop,_PhD:__Clarified_content_in_response_to_questions_from_participants","Quality_of_Instruction_–_Instructor_Ratings_–_Somer_Bishop,_PhD:_Presented_content_using_methods_appropriate_to_the_content","Quality_of_Instruction_–_Instructor_Ratings_–_Somer_Bishop,_PhD:_Presented_content_consistent_with_the_learning_objectives","Quality_of_Instruction_–_Instructor_Ratings_–_Somer_Bishop,_PhD:_Knowledgeable_in_relevant_content_areas)","Quality_of_Instruction_–_Instructor_Ratings_–_So_Hyun_“Sophy”_Kim,_PhD:_Provided_useful_historical_and_current_information_about_autism_spectrum_disorders","Quality_of_Instruction_–_Instructor_Ratings_–_So_Hyun_“Sophy”_Kim,_PhD:__Clarified_content_in_response_to_questions_from_participants","Quality_of_Instruction_–_Instructor_Ratings_–_So_Hyun_“Sophy”_Kim,_PhD:_Presented_content_using_methods_appropriate_to_the_content","Quality_of_Instruction_–_Instructor_Ratings_–_So_Hyun_“Sophy”_Kim,_PhD:_Presented_content_consistent_with_the_learning_objectives","Quality_of_Instruction_–_Instructor_Ratings_–_So_Hyun_“Sophy”_Kim,_PhD:_Knowledgeable_in_relevant_content_areas","Quality_of_Instruction_–_Course_Features:_Other_interactive_features_(e.g.,_polling,_chat/Q&A)","Quality_of_Instruction_–_Course_Features:__Interactive_content_(e.g.,_group_discussion_of_administration_and_coding)","Quality_of_Instruction_–_Course_Features:_Demonstrations_(e.g.,_video-based_case_examples)","Quality_of_Instruction_–_Course_Features:_Lecture(s)","Learning_Objectives:_Explain_issues_in_the_clinical_application_of_ADOS-2_results","Learning_Objectives:__Identify_the_basic_psychometric_support_for_the_ADOS-2","Learning_Objectives:_Demonstrate_a_basic_understanding_of_how_to_score_ADOS-2_algorithms","Learning_Objectives:_Demonstrate_a_basic_understanding_of_how_to_apply_ADOS-2_codes","Learning_Objectives:_Identify_administration_procedures_for_the_ADOS-2","Learning_Objectives:_Explain_how_to_select_the_most_appropriate_ADOS-2_module","Learning_Objectives:_Describe_use_of_the_ADOS-2_for_operationalizing_diagnostic_criteria_for_autism_spectrum_disorders","Learning_Objectives:_Identify_the_key_features_of_the_ADOS-2_approach,_including_the_rationale_for_the_approach_and_how_it_enhances_autism_assessment","Learning_Self-Evaluation:_How_much_did_you_learn_as_a_result_of_this_CE_program?","Usefulness_of_Content:_How_useful_was_the_content_of_this_CE_program_for_your_practice_or_other_professional_development?"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 4"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 5"," 5"," 5"," 5"," 4"," 4"," 5"," 5"," 4"," 4"," 4"," 4"," 4"," 4"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 5"," 5"," 5"," 4"," 4"," 5"," 4"," 4"," 4"," 4"," 5"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 5"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"
" 3"," 4"," 4"," 4"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 3"," 3"," 4"," 3"," 4"," 3"," 3"," 3"," 3"," 3"," 4"," 4"," 3"," 4"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 3"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 4"," 5"," 3"," 5"," 4"," 5"," 5"," 5"," 5"," 4"," 5"," 5"," 5"," 5"," 4"," 3"," 4"," 5"," 4"," 4"," 4"," 5"," 5"," 4"," 5"," 4"," 5"," 3"," 4"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 4"," 4"," 5"," 5"," 4"," 5"," 5"," 5"," 5"
" 4"," 5"," 5"," 5"," 3"," 4"," 4"," 5"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 5"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 3"," 4"
" 3"," 4"," 4"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 4"," 4"," 4"," 4"," 3"," 4"," 3"," 4"," 4"," 4"," 4"," 4"," 4"
" 4"," 4"," 5"," 4"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 3"," 3"," 3"," 4"," 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 4"
" 4"," 3"," 3"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 3"," 3"," 5"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"
" 3"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 5"," 4"," 5"," 4"," 4"," 5"," 3"," 4"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 5"," 5"," 4"," 5"," 5"," 5"," 4"," 4"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 3"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 2"," 4"," 5"," 5"," 4"," 5"," 4"," 3"," 5"," 5"," 5"," 5"," 5"
" 5"," 3"," 3"," 3"," 3"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 3"," 3"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 4"," 4"," 3"," 4"," 4"," 4"," 4"," 5"," 5"
" 5"," 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 3"," 4"," 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 3"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 3"," 3"," 4"," 4"," 3"," 3"," 3"," 4"," 4"," 4"," 5"," 5"," 5"," 4"
" 4"," 5"," 4"," 4"," 3"," 5"," 5"," 5"," 5"," 5"," 5"," 3"," 5"," 5"," 5"," 4"," 3"," 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"
" 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"
" 4"," 4"," 5"," 5"," 4"," 5"," 4"," 5"," 5"," 5"," 5"," 4"," 5"," 5"," 5"," 5"," 3"," 4"," 5"," 5"," 4"," 4"," 4"," 4"," 5"," 5"," 5"," 4"," 4"
" 5"," 3"," 4"," 3"," 3"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 4"," 5"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 5"," 4"
" 4"," 4"," 4"," 5"," 4"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 5"," 4"," 5"," 5"," 4"," 2"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"," 4"
